"Fecha","Descripción","Depósitos","Retiros","Saldo"
"04 May 2026","PAGO INTERBANCARIO AUT 0370043",,"$ 250.00","$ 855.79"
"04 May 2026","PAGO DE SERVICIO    57340 A TB 548236904",,"$ 11,000.00","$ 1,105.79"
"04 May 2026","PAGO INTERBANCARIO AUT 0052404",,"$ 700.21","$ 12,105.79"
"04 May 2026","PAGO INTERBANCARIO AUT 0051277",,"$ 200.00","$ 12,806.00"
"04 May 2026","DEPOSITO CANALES DE SERVICIO","$ 13,000.00",,"$ 13,006.00"
"04 May 2026","PAGO INTERBANCARIO AUT 0610939",,"$ 250.00","$ 6.00"
"04 May 2026","PAGO DE SERVICIO    610504 A TB 54823690",,"$ 105,000.00","$ 256.00"
"04 May 2026","DEPOSITO INTERBANCARIO AUT 4319405","$ 25,161.81",,"$ 105,256.00"
"04 May 2026","DEPOSITO INTERBANCARIO AUT 4319227","$ 24,989.60",,"$ 80,094.19"
"04 May 2026","DEPOSITO INTERBANCARIO AUT 4318956","$ 24,985.31",,"$ 55,104.59"
"04 May 2026","DEPOSITO INTERBANCARIO AUT 4318637","$ 29,500.00",,"$ 30,119.28"
"04 May 2026","PAGO INTERBANCARIO AUT 0674819",,"$ 20,500.00","$ 619.28"
"30 Abr 2026","DOMI 0009434759 SEGUROS MONTERREY NE",,"$ 11,043.11","$ 21,119.28"
"30 Abr 2026","DOMI 0009420137 SEGUROS MONTERREY NE",,"$ 4,727.60","$ 32,162.39"
"30 Abr 2026","DOMI 0009319429 SEGUROS MONTERREY NE",,"$ 10,522.32","$ 36,889.99"
"30 Abr 2026","DEPOSITO INTERBANCARIO AUT 2437421","$ 24,000.00",,"$ 47,412.31"
"30 Abr 2026","DEPOSITO INTERBANCARIO AUT 2394343","$ 22,991.39",,"$ 23,412.31"
"30 Abr 2026","PAGO INTERBANCARIO AUT 0508728",,"$ 9,000.00","$ 420.92"
"30 Abr 2026","PAGO INTERBANCARIO AUT 0463339",,"$ 5,480.00","$ 9,420.92"
"30 Abr 2026","DEPOSITO CANALES DE SERVICIO","$ 14,000.00",,"$ 14,900.92"
"29 Abr 2026","PAGO INTERBANCARIO AUT 0995850",,"$ 9,500.00","$ 900.92"
"29 Abr 2026","PAGO INTERBANCARIO AUT 0994036",,"$ 7,300.00","$ 10,400.92"
"29 Abr 2026","ABONO/NOMINA        5033610 Quincenal 08","$ 16,983.07",,"$ 17,700.92"
"27 Abr 2026","ESPERANZA ECHEGARAY PNA 2005083U1",,"$ 31.00","$ 717.85"
"27 Abr 2026","PAGO INTERBANCARIO AUT 0566340",,"$ 250.00","$ 748.85"
"23 Abr 2026","PAGO INTERBANCARIO AUT 0528633",,"$ 17,000.00","$ 998.85"
"23 Abr 2026","DEPOSITO INTERBANCARIO AUT 0605152","$ 17,160.00",,"$ 17,998.85"
"23 Abr 2026","DIS.EFE.BANAMEX SORIANA ECHEGARAY",,"$ 1,300.00","$ 838.85"
"23 Abr 2026","PAGO INTERBANCARIO AUT 0063300",,"$ 250.00","$ 2,138.85"
"21 Abr 2026","OXXO PLAZA MACH MEX CCO 8605231N4",,"$ 60.00","$ 2,388.85"
"20 Abr 2026","PAGO INTERBANCARIO AUT 0251642",,"$ 250.00","$ 2,448.85"
"17 Abr 2026","PAGO INTERBANCARIO AUT 0661560",,"$ 10,000.00","$ 2,698.85"
"16 Abr 2026","DIS.EFE.BANAMEX GUSTAVO BAZ 1",,"$ 2,500.00","$ 12,698.85"
"16 Abr 2026","DEPOSITO INTERBANCARIO AUT 0541166","$ 2,500.00",,"$ 15,198.85"
"16 Abr 2026","OXXO PLAZA MACH MEX CCO 8605231N4",,"$ 60.00","$ 12,698.85"
"15 Abr 2026","PAGO INTERBANCARIO AUT 0763169",,"$ 150.00","$ 12,758.85"
"15 Abr 2026","PAGO INTERBANCARIO AUT 0177980",,"$ 44,900.00","$ 12,908.85"
"15 Abr 2026","DEPOSITO INTERBANCARIO AUT 1036406","$ 30,000.00",,"$ 57,808.85"
"14 Abr 2026","ESPERANZA ECHEGARAY PNA 2005083U1",,"$ 38.00","$ 27,808.85"
"14 Abr 2026","OXXO PLAZA MACH MEX CCO 8605231N4",,"$ 60.00","$ 27,846.85"
"14 Abr 2026","ABONO/NOMINA        3131542 Quincenal 07","$ 19,222.74",,"$ 27,906.85"
"13 Abr 2026","PCOMP 085902024740310066","$ 0.02",,"$ 8,684.11"
"13 Abr 2026","PAGO INTERBANCARIO AUT 0561736",,"$ 250.00","$ 8,684.09"
"10 Abr 2026","DOMI 0007995426 SEGUROS MONTERREY NE",,"$ 11,024.09","$ 8,934.09"
"10 Abr 2026","DOMI 0007995067 SEGUROS MONTERREY NE",,"$ 10,504.19","$ 19,958.18"
"10 Abr 2026","DOMI 0007994242 SEGUROS MONTERREY NE",,"$ 4,719.46","$ 30,462.37"
"10 Abr 2026","PAGO DE SERVICIO    790419 A TB 54823690",,"$ 65,000.00","$ 35,181.83"
"10 Abr 2026","DEPOSITO INTERBANCARIO AUT 0951988","$ 100,000.02",,"$ 100,181.83"
"10 Abr 2026","OXXO PLAZA MACH MEX CCO 8605231N4",,"$ 60.00","$ 181.81"
"10 Abr 2026","PAGO INTERBANCARIO AUT 0202474",,"$ 345,000.00","$ 241.81"
"10 Abr 2026","DEPOSITO INTERBANCARIO AUT 0313852","$ 345,000.00",,"$ 345,241.81"
"09 Abr 2026","DIS.EFE.BANAMEX GUSTAVO BAZ 1",,"$ 800.00","$ 241.81"
"09 Abr 2026","PAGO INTERBANCARIO AUT 0336041",,"$ 56,000.00","$ 1,041.81"
"09 Abr 2026","TRASPASO REF        334466 DE TB 5482369","$ 34,123.00",,"$ 57,041.81"
"09 Abr 2026","DEPOSITO INTERBANCARIO AUT 0435769","$ 16,074.44",,"$ 22,918.81"
